         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       26    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
      167    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       54    0.000    0.000    0.000    0.000 common.py:1769(pandas_dtype)
       36    0.000    0.000    0.000    0.000 _dtype.py:307(_name_includes_bit_suffix)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        2    0.000    0.000    0.002    0.001 concat.py:82(concat)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       41    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        4    0.000    0.000    0.000    0.000 generic.py:476(_get_block_manager_axis)
        4    0.000    0.000    0.000    0.000 enum.py:646(__new__)
        1    0.000    0.000    0.000    0.000 spawn.py:11(<module>)
       44    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(repeat)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        4    0.000    0.000    1.215    0.304 _base.py:417(result)
        6    0.000    0.000    0.000    0.000 _parallel_backends.py:285(compute_batch_size)
        8    0.000    0.000    0.000    0.000 spawn.py:68(<listcomp>)
       12    0.000    0.000    0.000    0.000 blocks.py:161(_check_ndim)
        2    0.000    0.000    0.000    0.000 agent.py:709(<dictcomp>)
       16    0.000    0.000    0.000    0.000 common.py:1341(is_bool_dtype)
        8    0.000    0.000    0.000    0.000 function_base.py:4690(append)
        1    0.000    0.000    0.000    0.000 process_executor.py:125(__init__)
       97    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       16    0.000    0.000    0.000    0.000 managers.py:206(shape)
        6    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1189(_make_invoke_excepthook)
       41    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
        4    0.000    0.000    0.067    0.017 reusable_executor.py:175(submit)
       30    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.006    0.003 parallel.py:730(_initialize_backend)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        4    0.000    0.000    0.003    0.001 _memmapping_reducer.py:537(register_new_context)
      218    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       10    0.000    0.000    0.000    0.000 process.py:198(daemon)
       44    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
        2    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 managers.py:1844(_multi_blockify)
        2    0.000    0.000    0.000    0.000 managers.py:1938(<listcomp>)
       32    0.000    0.000    0.000    0.000 connection.py:173(fileno)
        4    0.000    0.000    1.215    0.304 _parallel_backends.py:537(wrap_future_result)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       28    0.000    0.000    0.000    0.000 util.py:48(debug)
        2    0.000    0.000    0.000    0.000 base.py:826(copy)
        6    0.000    0.000    0.000    0.000 connection.py:122(__init__)
       44    0.000    0.000    0.000    0.000 common.py:429(is_timedelta64_dtype)
        2    0.000    0.000    0.000    0.000 shape_base.py:219(_vhstack_dispatcher)
        5    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        6    0.000    0.000    0.000    0.000 managers.py:690(<listcomp>)
      100    0.000    0.000    0.000    0.000 common.py:187(<lambda>)
       88    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        4    0.000    0.000    0.000    0.000 parallel.py:345(__init__)
       16    0.000    0.000    0.005    0.000 cloudpickle_fast.py:561(dump)
       44    0.000    0.000    0.000    0.000 fromnumeric.py:437(repeat)
        2    0.000    0.000    0.000    0.000 concat.py:609(_concat_indexes)
        1    0.000    0.000    0.000    0.000 context.py:60(Pipe)
        4    0.000    0.000    0.000    0.000 process_executor.py:135(wakeup)
        2    0.000    0.000    0.000    0.000 construction.py:333(_homogenize)
       12    0.000    0.000    0.000    0.000 blocks.py:202(_consolidate_key)
        2    0.000    0.000    0.000    0.000 parallel.py:76(get_active_backend)
        4    0.000    0.000    0.000    0.000 codeop.py:142(__call__)
       26    0.000    0.000    0.000    0.000 common.py:703(is_integer_dtype)
        4    0.000    0.000    0.000    0.000 base.py:4096(_get_engine_target)
       33    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.005    0.003 executor.py:19(get_memmapping_executor)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 tempfile.py:178(_get_default_tempdir)
       16    0.000    0.000    0.000    0.000 numerictypes.py:359(issubdtype)
        2    0.000    0.000    0.000    0.000 _parallel_backends.py:154(_prepare_worker_env)
       26    0.000    0.000    0.000    0.000 common.py:1307(is_float_dtype)
       12    0.000    0.000    0.000    0.000 base.py:4279(__getitem__)
        2    0.000    0.000    0.000    0.000 range.py:694(_concat)
      100    0.000    0.000    0.000    0.000 common.py:185(classes)
       15    0.000    0.000    0.000    0.000 weakref.py:350(__init__)
       60    0.000    0.000    0.000    0.000 threading.py:529(is_set)
        2    0.000    0.000    0.000    0.000 subprocess.py:282(_args_from_interpreter_flags)
        6    0.000    0.000    0.000    0.000 contextlib.py:121(__exit__)
        4    0.000    0.000    0.000    0.000 parallel.py:245(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        3    0.000    0.000    0.000    0.000 context.py:233(get_context)
