         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 managers.py:157(blknos)
       10    0.000    0.000    0.000    0.000 {pandas._libs.internals.get_blkno_placements}
       10    0.000    0.000    0.000    0.000 common.py:605(is_excluded_dtype)
       20    0.000    0.000    0.000    0.000 base.py:606(__array__)
       20    0.000    0.000    0.000    0.000 frame.py:3284(_ensure_valid_index)
       10    0.000    0.000    0.000    0.000 managers.py:1699(<listcomp>)
       90    0.000    0.000    0.000    0.000 typing.py:1822(new_type)
       40    0.000    0.000    0.000    0.000 common.py:610(<genexpr>)
       10    0.000    0.000    0.000    0.000 agent.py:703(<listcomp>)
       80    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
       40    0.000    0.000    0.000    0.000 generic.py:456(_get_axis_number)
       30    0.000    0.000    0.000    0.000 generic.py:569(ndim)
       10    0.000    0.000    0.003    0.000 construction.py:713(_convert_object_array)
       50    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       10    0.000    0.000    0.000    0.000 concat.py:52(<listcomp>)
       10    0.000    0.000    0.000    0.000 api.py:91(<listcomp>)
       40    0.000    0.000    0.000    0.000 common.py:1762(<genexpr>)
       10    0.000    0.000    0.001    0.000 concat.py:609(_concat_indexes)
       10    0.000    0.000    0.000    0.000 concat.py:390(<listcomp>)
       10    0.000    0.000    0.000    0.000 range.py:395(_shallow_copy)
       20    0.000    0.000    0.000    0.000 base.py:508(<dictcomp>)
       20    0.000    0.000    0.000    0.000 common.py:317(apply_if_callable)
       40    0.000    0.000    0.000    0.000 base.py:381(<genexpr>)
       20    0.000    0.000    0.000    0.000 base.py:4096(_get_engine_target)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:997(argsort)
       60    0.000    0.000    0.000    0.000 managers.py:1847(<lambda>)
       20    0.000    0.000    0.000    0.000 frame.py:628(axes)
       10    0.000    0.000    0.000    0.000 dataclasses.py:1045(is_dataclass)
       10    0.000    0.000    0.000    0.000 flags.py:83(allows_duplicate_labels)
       60    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
       10    0.000    0.000    0.000    0.000 base.py:1392(rename)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(vstack)
       40    0.000    0.000    0.000    0.000 common.py:174(<genexpr>)
       10    0.000    0.000    0.000    0.000 generic.py:470(_get_axis)
       20    0.000    0.000    0.000    0.000 construction.py:686(<genexpr>)
       10    0.000    0.000    0.000    0.000 frame.py:645(shape)
       20    0.000    0.000    0.000    0.000 base.py:532(is_)
       20    0.000    0.000    0.000    0.000 {built-in method time.time}
       10    0.000    0.000    0.000    0.000 concat.py:585(<listcomp>)
       30    0.000    0.000    0.000    0.000 managers.py:1695(<genexpr>)
       10    0.000    0.000    0.000    0.000 generic.py:3485(_clear_item_cache)
       10    0.000    0.000    0.000    0.000 common.py:602(condition)
       20    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
       30    0.000    0.000    0.000    0.000 base.py:623(dtype)
       20    0.000    0.000    0.000    0.000 generic.py:3863(_check_setitem_copy)
     30/5    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       10    0.000    0.000    0.000    0.000 base.py:4353(<setcomp>)
       30    0.000    0.000    0.000    0.000 managers.py:173(blklocs)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
       10    0.000    0.000    0.000    0.000 inference.py:295(is_named_tuple)
       40    0.000    0.000    0.000    0.000 function_base.py:4636(_append_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3231(mean)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:1689(_ravel_dispatcher)
       10    0.000    0.000    0.000    0.000 concat.py:529(_get_result_dim)
       10    0.000    0.000    0.000    0.000 common.py:156(not_none)
        1    0.000    0.000    0.000    0.000 _methods.py:134(_mean)
       20    0.000    0.000    0.000    0.000 range.py:703(<genexpr>)
       10    0.000    0.000    0.000    0.000 managers.py:1869(_shape_compat)
       10    0.000    0.000    0.000    0.000 shape_base.py:220(_vhstack_dispatcher)
       30    0.000    0.000    0.000    0.000 shape_base.py:79(_atleast_2d_dispatcher)
       10    0.000    0.000    0.000    0.000 managers.py:227(is_single_block)
        1    0.000    0.000    0.000    0.000 _methods.py:215(_std)
       20    0.000    0.000    0.000    0.000 numeric.py:78(_validate_dtype)
       20    0.000    0.000    0.000    0.000 multiarray.py:853(bincount)
       20    0.000    0.000    0.000    0.000 common.py:160(<genexpr>)
       10    0.000    0.000    0.000    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3343(std)
       10    0.000    0.000    0.000    0.000 managers.py:1939(<listcomp>)
       30    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
        2    0.000    0.000    0.000    0.000 _methods.py:50(_count_reduce_items)
       10    0.000    0.000    0.000    0.000 range.py:709(<listcomp>)
       20    0.000    0.000    0.000    0.000 generic.py:248(flags)
       10    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       23    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
