         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 cast.py:1572(construct_1d_arraylike_from_scalar)
       20    0.000    0.000    0.000    0.000 common.py:160(<genexpr>)
       20    0.000    0.000    0.000    0.000 common.py:170(all_none)
       20    0.000    0.000    0.000    0.000 common.py:317(apply_if_callable)
       20    0.000    0.000    0.000    0.000 base.py:508(<dictcomp>)
       20    0.000    0.000    0.000    0.000 base.py:503(_get_attributes_dict)
       20    0.000    0.000    0.000    0.000 base.py:532(is_)
       20    0.000    0.000    0.000    0.000 base.py:581(<lambda>)
       20    0.000    0.000    0.000    0.000 base.py:574(_engine)
       20    0.000    0.000    0.000    0.000 base.py:606(__array__)
       20    0.000    0.000    0.000    0.000 base.py:1281(_get_names)
       20    0.000    0.000    0.000    0.000 base.py:1875(is_floating)
       20    0.000    0.000    0.000    0.000 base.py:2127(inferred_type)
       20    0.000    0.000    0.000    0.000 base.py:3036(get_loc)
       20    0.000    0.000    0.000    0.000 base.py:4096(_get_engine_target)
       20    0.000    0.000    0.003    0.000 base.py:4175(_coerce_scalar_to_index)
       20    0.000    0.000    0.001    0.000 base.py:4393(equals)
       20    0.000    0.000    0.000    0.000 base.py:5287(_maybe_cast_indexer)
       20    0.000    0.000    0.006    0.000 base.py:5544(insert)
       20    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       20    0.000    0.000    0.000    0.000 numeric.py:78(_validate_dtype)
       20    0.000    0.000    0.000    0.000 range.py:85(__new__)
       20    0.000    0.000    0.000    0.000 range.py:703(<genexpr>)
       20    0.000    0.000    0.000    0.000 frame.py:628(axes)
       20    0.000    0.000    0.011    0.001 frame.py:3147(__setitem__)
       20    0.000    0.000    0.011    0.001 frame.py:3231(_set_item)
       20    0.000    0.000    0.000    0.000 frame.py:3284(_ensure_valid_index)
       20    0.000    0.000    0.001    0.000 frame.py:3833(_sanitize_column)
       20    0.000    0.000    0.000    0.000 generic.py:248(flags)
       20    0.000    0.000    0.000    0.000 generic.py:476(_get_block_manager_axis)
       20    0.000    0.000    0.010    0.000 generic.py:3824(_set_item)
       20    0.000    0.000    0.000    0.000 generic.py:3863(_check_setitem_copy)
       20    0.000    0.000    0.000    0.000 generic.py:5442(<genexpr>)
       20    0.000    0.000    0.000    0.000 blocks.py:147(_maybe_coerce_values)
       20    0.000    0.000    0.000    0.000 indexing.py:2204(convert_to_index_sliceable)
       20    0.000    0.000    0.000    0.000 blocks.py:288(make_block_same_class)
       20    0.000    0.000    0.000    0.000 concat.py:179(__init__)
       20    0.000    0.000    0.000    0.000 blocks.py:2738(extend_blocks)
       20    0.000    0.000    0.001    0.000 managers.py:232(_rebuild_blknos_and_blklocs)
       20    0.000    0.000    0.002    0.000 managers.py:991(_consolidate_inplace)
       20    0.000    0.000    0.009    0.000 managers.py:1176(insert)
       20    0.000    0.000    0.001    0.000 managers.py:1923(_merge_blocks)
       20    0.000    0.000    0.001    0.000 managers.py:1951(_fast_count_smallints)
       20    0.000    0.000    0.000    0.000 construction.py:686(<genexpr>)
       20    0.000    0.000    0.000    0.000 agent.py:1113(<listcomp>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       10    0.000    0.000    0.000    0.000 {function FrozenList.__getitem__ at 0x1113c01f0}
       10    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       10    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
       10    0.000    0.000    0.000    0.000 shape_base.py:220(_vhstack_dispatcher)
       10    0.000    0.000    0.000    0.000 shape_base.py:224(vstack)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:993(_argsort_dispatcher)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:997(argsort)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(vstack)
       10    0.000    0.000    0.003    0.000 utils.py:41(create_agents)
       10    0.000    0.000    0.000    0.000 typing.py:1149(cast)
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.clean_index_list}
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.to_object_array_tuples}
       10    0.000    0.000    0.000    0.000 inference.py:295(is_named_tuple)
       10    0.000    0.000    0.000    0.000 inference.py:391(is_dataclass)
       10    0.000    0.000    0.000    0.000 missing.py:367(array_equivalent)
       10    0.000    0.000    0.000    0.000 missing.py:465(_array_equivalent_object)
       10    0.000    0.000    0.000    0.000 common.py:602(condition)
       10    0.000    0.000    0.000    0.000 common.py:605(is_excluded_dtype)
       10    0.000    0.000    0.000    0.000 common.py:156(not_none)
       10    0.000    0.000    0.000    0.000 base.py:510(_shallow_copy)
       10    0.000    0.000    0.000    0.000 base.py:826(copy)
       10    0.000    0.000    0.000    0.000 base.py:1250(_validate_names)
       10    0.000    0.000    0.000    0.000 base.py:1284(_set_names)
       10    0.000    0.000    0.000    0.000 base.py:1313(set_names)
       10    0.000    0.000    0.000    0.000 base.py:1392(rename)
       10    0.000    0.000    0.000    0.000 base.py:4353(<setcomp>)
       10    0.000    0.000    0.001    0.000 base.py:4330(append)
       10    0.000    0.000    0.000    0.000 base.py:5947(default_index)
       10    0.000    0.000    0.000    0.000 frozen.py:66(__getitem__)
       10    0.000    0.000    0.000    0.000 flags.py:51(allows_duplicate_labels)
       10    0.000    0.000    0.000    0.000 flags.py:83(allows_duplicate_labels)
       10    0.000    0.000    0.000    0.000 api.py:91(<listcomp>)
       10    0.000    0.000    0.000    0.000 api.py:65(get_objs_combined_axis)
       10    0.000    0.000    0.000    0.000 api.py:95(_get_distinct_objs)
       10    0.000    0.000    0.000    0.000 api.py:109(_get_combined_index)
       10    0.000    0.000    0.000    0.000 range.py:395(_shallow_copy)
       10    0.000    0.000    0.000    0.000 range.py:709(<listcomp>)
       10    0.000    0.000    0.001    0.000 range.py:694(_concat)
       10    0.000    0.000    0.000    0.000 frame.py:482(_constructor)
       10    0.000    0.000    0.000    0.000 frame.py:645(shape)
       10    0.000    0.000    0.000    0.000 generic.py:470(_get_axis)
       10    0.000    0.000    0.000    0.000 generic.py:3485(_clear_item_cache)
       10    0.000    0.000    0.000    0.000 generic.py:5411(__finalize__)
       10    0.000    0.000    0.000    0.000 generic.py:5467(__setattr__)
       10    0.000    0.000    0.002    0.000 generic.py:5522(_protect_consolidate)
       10    0.000    0.000    0.002    0.000 generic.py:5538(f)
       10    0.000    0.000    0.002    0.000 generic.py:5534(_consolidate_inplace)
       10    0.000    0.000    0.000    0.000 concat.py:52(<listcomp>)
       10    0.000    0.000    0.001    0.000 concat.py:35(concatenate_block_managers)
       10    0.000    0.000    0.000    0.000 concat.py:92(_get_mgr_concatenation_plan)
       10    0.000    0.000    0.000    0.000 {pandas._libs.internals.get_blkno_placements}
       10    0.000    0.000    0.000    0.000 managers.py:227(is_single_block)
       10    0.000    0.000    0.002    0.000 managers.py:975(consolidate)
       10    0.000    0.000    0.000    0.000 managers.py:1699(<listcomp>)
       10    0.000    0.000    0.003    0.000 managers.py:1690(create_block_manager_from_arrays)
       10    0.000    0.000    0.003    0.000 managers.py:1733(_form_blocks)
       10    0.000    0.000    0.001    0.000 managers.py:1844(_multi_blockify)
       10    0.000    0.000    0.000    0.000 managers.py:1869(_shape_compat)
       10    0.000    0.000    0.000    0.000 managers.py:1860(_stack_arrays)
       10    0.000    0.000    0.001    0.000 managers.py:1906(_consolidate)
       10    0.000    0.000    0.000    0.000 managers.py:1938(<listcomp>)
       10    0.000    0.000    0.000    0.000 managers.py:1939(<listcomp>)
       10    0.000    0.000    0.005    0.001 concat.py:82(concat)
       10    0.000    0.000    0.000    0.000 concat.py:390(<listcomp>)
       10    0.000    0.000    0.004    0.000 concat.py:306(__init__)
       10    0.000    0.000    0.002    0.000 concat.py:469(get_result)
       10    0.000    0.000    0.000    0.000 concat.py:529(_get_result_dim)
       10    0.000    0.000    0.001    0.000 concat.py:537(<listcomp>)
       10    0.000    0.000    0.001    0.000 concat.py:535(_get_new_axes)
       10    0.000    0.000    0.000    0.000 concat.py:542(_get_comb_axis)
       10    0.000    0.000    0.000    0.000 concat.py:585(<listcomp>)
       10    0.000    0.000    0.001    0.000 concat.py:552(_get_concat_axis)
       10    0.000    0.000    0.000    0.000 concat.py:602(_maybe_check_integrity)
       10    0.000    0.000    0.001    0.000 concat.py:609(_concat_indexes)
       10    0.000    0.000    0.000    0.000 dataclasses.py:1045(is_dataclass)
       10    0.000    0.000    0.006    0.001 construction.py:62(arrays_to_mgr)
       10    0.000    0.000    0.003    0.000 construction.py:333(_homogenize)
       10    0.000    0.000    0.003    0.000 construction.py:502(to_arrays)
       10    0.000    0.000    0.003    0.000 construction.py:555(_list_to_arrays)
       10    0.000    0.000    0.000    0.000 construction.py:655(_validate_or_indexify_columns)
       10    0.000    0.000    0.003    0.000 construction.py:736(<listcomp>)
       10    0.000    0.000    0.003    0.000 construction.py:713(_convert_object_array)
       10    0.000    0.000    0.000    0.000 agent.py:703(<listcomp>)
